"taxa","suggested"
"Paepalanthus varibilis","Paepalanthus variabilis"
"Paepalanthus vellozioides","Paepalanthus vellozioides"
"Paepalanthus velutinus","Paepalanthus velutinus"
"Paepalanthus velutiphyllus","Paepalanthus velutiphyllus"
"Paepalanthus verticillatus","Paepalanthus verticillatus"
"Paepalanthus vestitus caulescens","Paepalanthus vestitus var. caulescens"
"Paepalanthus vestitus","Paepalanthus vestitus"
"Paepalanthus villipes","Paepalanthus villipes"
"Paepalanthus villosulus","Paepalanthus villosulus"
"Paepalanthus viridis","Paepalanthus viridis"
"Paepalanthus viridulus","Paepalanthus viridulus"
"Paepalanthus weddellii gracilis",NA
"Paepalanthus williamsii","Paepalanthus williamsii"
"Paepalanthus xanthopus","Paepalanthus xanthopus"
"Paepalanthus xiphophyllus","Paepalanthus xiphophyllus"
